nome;cep
Rua Francisco Pastore;96202340
Rua Ivacy de Mattos Gomes;96202342
Rua Madame Elisa Emil Corrêa;96202325
Rua Mestre Jerônimo;96202350
Rua Raul Barlem;96202330
Rua Vereador Pedro Eugênio Delinger;96202315
Rua Veterano Sport Clube Rio Grande;96202320
Avenida Itália;96203535
Rua Adel Carvalho;96203560
Rua Cento e Sessenta e Quatro;96203602
Rua Doutor Raul Pilla;96203550
Rua Francisco Carrone;96203530
Rua Herminio de Moraes;96203580
Rua Ilton Macêdo Gonçalves;96203620
Rua José Gaspar Lourenço Peres;96203630
Rua Manoel Vilmar Rodrigues Roldão;96203600
Rua Mário Gomes Centro;96203540
Rua Octacílio Charao;96203590
Rua Otto Anselmi;96203650
Rua Policial Militar Gilmar da Silva Cantos;96203610
Rua Soldado Amaro;96203635
Rua Vereador Pedro Correa de Azevedo;96203570
Avenida dos Bandeirantes;96212450
Avenida José Bonifácio;96202010
Avenida Presidente Vargas;96202188
Avenida Primeiro de Maio;96202293
Avenida Primeiro de Maio;96202172
Avenida Primeiro de Maio;96202133
Avenida Santos Dumont;96202090
Rua Arthur Rocha;96212482
Rua Campos Sales;96212420
Rua Cento e Sessenta e Nove;96202130
Rua dos Dragoes;96202200
Rua Doutor Érico Peixoto;96202230
Rua Engenheiro Elmer Lawsorense Corttheill;96212380
Rua Forte Santana;96202182
Rua Intendente Carvalho;96202250
Rua Intendente Conrado;96202210
Rua Intendente Mesquita;96202260
Rua Israel Nisenson;96212370
Rua Newton Azevedo;96202300
Rua Olavo Bilac;96212430
Rua Padre Vieira;96212410
Rua Quarenta e Oito;96202140
Rua Quarenta e Sete;96202150
Rua Quatorze Bis;96202160
Rua Ribeiro Coutinho;96202220
Rua Teófilo Azevedo;96202154
Rua Vidal de Negreiros;96212400
Rua Vieira de Castro;96212440
Travessa Bom Fim;96202120
Travessa Globo;96202190
Rua Almirante Anphiloquio Reis;96201240
Rua Almirante Cerqueira e Souza;96201260
Rua Almirante Garnier;96201230
Rua Cabo Francisco Reis;96201280
Rua Soldado Enites da S. Rodrigues;96201270
Estrada Roberto Socoowski;96213394
Rua Barão de Santo Ângelo;96213404
Rua Helen Keller;96213410
Rua Jornalista Arquimedes Fortini;96213400
Rua Lili Ferreira;96213390
Rua Maestro Pablo Konlos;96213420
Rua Manoel Nunes Duarte;96213450
Rua Onofrio Aikim;96213440
Rua Pandiá Calógeras;96213398
Avenida Cidade de Pelotas;96212114
Rua Antônio Maria da Costa Freitas;96212350
Rua Antônio Pereira Rodrigues;96212300
Rua Cordilheira dos Andes;96212130
Rua Coronel Pedroso;96212120
Rua Gamal Abdel Nasser;96212290
Rua Gustavo Sampaio;96212110
Rua Honorato Carvalho;96212340
Rua Guarda Oscar Jesus Nunes;96212340
Rua Irmã Otilia;96212320
Rua Pedro de Sá Freitas;96212360
Rua Rafael Anselmi;96212310
Rua Rio Amazonas;96212140
Avenida Engenheiro Francisco Martins Bastos;96201650
Beco da Vinte e Sete (da Carlos Vignoli);96201356
Rua Alípio Cadaval;96201370
Rua Carlos Vignoli;96201350
Rua dos Tupis;96201320
Rua Doutor Antônio Augusto Borges de Medeiros;96201450
Rua Francisco de Assis;96201410
Rua General Flores da Cunha;96201390
Rua Leão XIII;96201430
Rua Marechal Rondon;96201330
Rua Mário Quintana;96201656
Rua Padre Caio;96201340
Rua Radialista Glênio Freitas;96201652
Rua Ruy Barbosa;96201440
Rua São Vicente de Paula;96201420
Rua Vereador Doutor Nilo Correa Fonseca;96201360
Travessa Assis Brasil;96201400
Travessa Xavantes;96201380
Rua Al Teixeira;96213250
Rua Aparício Torelly;96213160
Rua Bernardo Taveira;96213050
Rua Cento e Quarenta e Cinco (Vl São João);96213130
Rua Cento e Trinta e Quatro (Vl São João);96213150
Rua Cristóvão Pereira;96213170
